"module name","license","repository"
"@angular/animations@17.3.12","MIT","https://github.com/angular/angular"
"@angular/cdk@17.3.10","MIT","https://github.com/angular/components"
"@angular/common@17.3.12","MIT","https://github.com/angular/angular"
"@angular/compiler@17.3.12","MIT","https://github.com/angular/angular"
"@angular/core@17.3.12","MIT","https://github.com/angular/angular"
"@angular/forms@17.3.12","MIT","https://github.com/angular/angular"
"@angular/platform-browser-dynamic@17.3.12","MIT","https://github.com/angular/angular"
"@angular/platform-browser@17.3.12","MIT","https://github.com/angular/angular"
"@angular/router@17.3.12","MIT","https://github.com/angular/angular"
"@popperjs/core@2.11.8","MIT","https://github.com/popperjs/popper-core"
"ag-charts-types@12.2.0","MIT","https://github.com/ag-grid/ag-charts"
"ag-grid-angular@34.2.0","MIT","https://github.com/ag-grid/ag-grid"
"ag-grid-community@34.2.0","MIT","https://github.com/ag-grid/ag-grid"
"bootstrap-icons@1.13.1","MIT","https://github.com/twbs/icons"
"bootstrap@5.3.8","MIT","https://github.com/twbs/bootstrap"
"entities@6.0.1","BSD-2-Clause","https://github.com/fb55/entities"
"novapartage-app@0.0.0","UNLICENSED",""
"parse5@7.3.0","MIT","https://github.com/inikulin/parse5"
"rxjs@7.8.2","Apache-2.0","https://github.com/reactivex/rxjs"
"tslib@2.8.1","0BSD","https://github.com/Microsoft/tslib"
"zone.js@0.14.10","MIT","https://github.com/angular/angular"
