"module name","license","repository"
"ddsshare-monitoring-service@1.0.0","UNKNOWN",""
"node-cron@3.0.3","ISC","https://github.com/merencia/node-cron"
"nodemailer@6.10.1","MIT-0","https://github.com/nodemailer/nodemailer"
"pg-cloudflare@1.2.7","MIT","https://github.com/brianc/node-postgres"
"pg-connection-string@2.9.1","MIT","https://github.com/brianc/node-postgres"
"pg-int8@1.0.1","ISC","https://github.com/charmander/pg-int8"
"pg-pool@3.10.1","MIT","https://github.com/brianc/node-postgres"
"pg-protocol@1.10.3","MIT","https://github.com/brianc/node-postgres"
"pg-types@2.2.0","MIT","https://github.com/brianc/node-pg-types"
"pg@8.16.3","MIT","https://github.com/brianc/node-postgres"
"pgpass@1.0.5","MIT","https://github.com/hoegaarden/pgpass"
"postgres-array@2.0.0","MIT","https://github.com/bendrucker/postgres-array"
"postgres-bytea@1.0.0","MIT","https://github.com/bendrucker/postgres-bytea"
"postgres-date@1.0.7","MIT","https://github.com/bendrucker/postgres-date"
"postgres-interval@1.2.0","MIT","https://github.com/bendrucker/postgres-interval"
"split2@4.2.0","ISC","https://github.com/mcollina/split2"
"uuid@8.3.2","MIT","https://github.com/uuidjs/uuid"
"xtend@4.0.2","MIT","https://github.com/Raynos/xtend"
